,id,name,service_name,service_id,location
0,65668,Peuramaa Golf Pikku Peura,Golfin harjoitusalue,173,POINT (60.098717 24.458323)
1,57534,Mega-Range,Golfin harjoitusalue,173,POINT (60.299423 24.894676)
2,57328,Oittaan jalkapallogolfrata,Golfin harjoitusalue,173,POINT (60.23975 24.662691)
3,53533,Oy Season Golf Ab / Golfrange,Golfin harjoitusalue,173,POINT (60.171146 24.699444)
4,42840,Hiekkaharjun harjoituskenttä,Golfin harjoitusalue,173,POINT (60.30584 25.054081)
5,39787,GoGolf Range Leppävaara,Golfin harjoitusalue,173,POINT (60.218132 24.799803)
6,68823,Smash Center / Golfsimulaattori,Golfin harjoitushalli,174,POINT (60.209225 25.068777)
7,64754,GoGolf Lounge,Golfin harjoitushalli,174,POINT (60.215126 24.75935)
8,53536,Oy Seasongolf Ab / Golfin harjoitushalli,Golfin harjoitushalli,174,POINT (60.171925 24.698362)
9,50231,Tapiolan tenniskeskus / Golfin sisäharjoitustila,Golfin harjoitushalli,174,POINT (60.172424 24.801167)
10,50172,Green Golf Talviharjoittelukeskus,Golfin harjoitushalli,174,POINT (60.242268 25.022985)
11,49999,Planmeca Golf Areena,Golfin harjoitushalli,174,POINT (60.213814 25.157764)
12,42199,Helsingin Mailapelikeskus / Golfsimulaattori,Golfin harjoitushalli,174,POINT (60.270527 25.032293)
13,41556,Talin Tenniskeskus / Golfin sisäharjoitustila,Golfin harjoitushalli,174,POINT (60.212914 24.874773)
14,40628,Töölön kisahalli / Golfin harjoitustila,Golfin harjoitushalli,174,POINT (60.183193 24.926579)
15,40244,Talin golfkenttä / Golfin sisäharjoittelutila,Golfin harjoitushalli,174,POINT (60.21196 24.860739)
16,39800,Golf Areena Suomenoja / Golfin sisäharjoitustila,Golfin harjoitushalli,174,POINT (60.16543 24.706333)
17,72448,Seikkailugolf Oittaa,Golfkenttä,175,POINT (60.239826 24.658766)
18,68855,Paloheinä Golf / Evergreen / Jokamiesgolfkenttä,Golfkenttä,175,POINT (60.25669 24.93498)
19,65664,Peuramaa Golf Porkkala,Golfkenttä,175,POINT (60.101303 24.461649)
20,65315,Hirsala Golf,Golfkenttä,175,POINT (60.1192 24.524412)
21,65307,Kurk Golf Valley&Lake,Golfkenttä,175,POINT (60.180855 24.387892)
22,65299,Kurk Golf Hill,Golfkenttä,175,POINT (60.181534 24.388578)
23,65295,Peuramaa Golf Vanha Peura,Golfkenttä,175,POINT (60.101574 24.46127)
24,53566,Isosaari / Golfkenttä,Golfkenttä,175,POINT (60.10416 25.059227)
25,53450,Löfkulla Golf,Golfkenttä,175,POINT (60.214977 24.659689)
26,42616,Hiekkaharju Golf,Golfkenttä,175,POINT (60.305885 25.053028)
27,42417,Keimola Golf Saras,Golfkenttä,175,POINT (60.322144 24.806824)
28,42411,Keimola Golf Kirkka,Golfkenttä,175,POINT (60.321426 24.805132)
29,41966,Paloheinä Golf / Iso Ysi / Jokamiesgolfkenttä,Golfkenttä,175,POINT (60.256516 24.932932)
30,41743,Suur-Helsingin Golf Luukki,Golfkenttä,175,POINT (60.31941 24.671307)
31,41605,Talin golfkenttä,Golfkenttä,175,POINT (60.21311 24.861511)
32,41172,Vuosaaren golfkenttä,Golfkenttä,175,POINT (60.207924 25.17345)
33,40597,Laajasalon Golf / Jokamiesgolfkenttä,Golfkenttä,175,POINT (60.169792 25.063702)
34,39864,Espoon Golfseuran kenttä,Golfkenttä,175,POINT (60.203285 24.599037)
35,39811,Master Golf Club Master,Golfkenttä,175,POINT (60.26144 24.682062)
36,39770,Espoo Ringside Golf,Golfkenttä,175,POINT (60.27617 24.743345)
37,39689,Tapiola Golf,Golfkenttä,175,POINT (60.20065 24.786861)
38,39683,Gumböle Golf,Golfkenttä,175,POINT (60.22439 24.609575)
39,39614,Master Golf Club Forest,Golfkenttä,175,POINT (60.261745 24.682907)
40,39382,Suur-Helsingin Golf Lakisto,Golfkenttä,175,POINT (60.35736 24.653605)
41,57535,Mega-Range,Ratagolf,573,POINT (60.29942 24.894623)
42,57459,Hotelli Lepolampi / Minigolfrata,Ratagolf,573,POINT (60.261177 24.507238)
43,53798,Löfkulla Golf / Minigolf,Ratagolf,573,POINT (60.214775 24.66048)
44,53789,Honka Minigolf,Ratagolf,573,POINT (60.217907 24.809729)
45,53627,Espoo Camping Oittaa / Minigolf,Ratagolf,573,POINT (60.23895 24.658575)
46,42714,Koivukylän minigolf,Ratagolf,573,POINT (60.317608 25.050537)
47,42668,Jokiuoman minigolf,Ratagolf,573,POINT (60.27344 24.862457)
48,42398,Pähkinärinteen Ratagolf,Ratagolf,573,POINT (60.258717 24.798975)
49,42104,Munkkivuoren Minigolf / Minigolfkenttä,Ratagolf,573,POINT (60.205994 24.881447)
50,41959,Puotila minigolfkenttä 1,Ratagolf,573,POINT (60.21019 25.091497)
51,41866,Minigolf Taivallahti 2,Ratagolf,573,POINT (60.175526 24.911213)
52,40556,Minigolf Taivallahti 1,Ratagolf,573,POINT (60.175404 24.911997)
53,40404,Puotila minigolfkenttä 2,Ratagolf,573,POINT (60.20991 25.092054)
54,40271,Kaivopuiston minigolf / Minigolfkenttä,Ratagolf,573,POINT (60.154366 24.940016)
55,40177,Bewe Sport minigolf / Minigolfkenttä,Ratagolf,573,POINT (60.206608 24.946089)
56,39547,Espoon Minigolfkeskus Kivenlahti,Ratagolf,573,POINT (60.15255 24.651644)
57,39455,Tapiolan minigolf,Ratagolf,573,POINT (60.174706 24.814283)
58,39293,Espoon Kirkkojärven minigolf,Ratagolf,573,POINT (60.21037 24.663177)
59,70394,Kuusalan kaukalo,Kaukalo,235,POINT (60.12071 24.426723)
60,65734,Framnäsin kaukalo,Kaukalo,235,POINT (60.15489 24.529026)
61,65123,Kantvikin kaukalo,Kaukalo,235,POINT (60.091606 24.39437)
62,65103,Veikkolan kaukalo,Kaukalo,235,POINT (60.27099 24.439522)
63,51449,Pitäjänmäen urheilukenttä / Kaukalo,Kaukalo,235,POINT (60.225113 24.861055)
64,51402,Puistolan liikuntapuisto / Jääkiekkokaukalo,Kaukalo,235,POINT (60.266598 25.054548)
65,42241,Heteniitynkenttä (Vuosaari) / kaukalo,Kaukalo,235,POINT (60.217518 25.136923)
66,42034,Myllypuron liikuntapuisto / Jääkiekkokaukalo,Kaukalo,235,POINT (60.217743 25.077736)
67,41657,Kontulan liikuntapuisto / Luistelukaukalo,Kaukalo,235,POINT (60.233513 25.094475)
68,41420,Latokartanon liikuntapuisto / Luistelukaukalo,Kaukalo,235,POINT (60.230656 25.035713)
69,41405,Siltamäen liikuntapuisto / Luistelukaukalo,Kaukalo,235,POINT (60.273304 24.982794)
70,40982,Väinämöisenkenttä / Kaukalo,Kaukalo,235,POINT (60.171852 24.916458)
71,40970,Herttoniemen liikuntapuisto / Luistelukaukalo,Kaukalo,235,POINT (60.208057 25.035206)
72,40624,Tapulikaupungin liikuntapuisto / Luistelukaukalo,Kaukalo,235,POINT (60.27343 25.019732)
73,40454,Mustikkamaan liikuntapuisto / Luistelukaukalo,Kaukalo,235,POINT (60.18118 24.99229)
74,70325,Kruunuvuorenrannan liikuntapuisto / Luistelukenttä,Luistelukenttä,406,POINT (60.16945 25.022875)
75,69359,Kungsgårdsskolan luistelukenttä,Luistelukenttä,406,POINT (60.181355 24.598997)
76,67911,Laajakallion koulun luistelukenttä,Luistelukenttä,406,POINT (60.12174 24.472193)
77,67900,Veikkolan koulun luistelukenttä,Luistelukenttä,406,POINT (60.2705 24.445782)
78,67884,Kartanonrannan koulun kenttä,Luistelukenttä,406,POINT (60.152397 24.549683)
79,67883,Keskustan urheilupuiston luistelurata,Luistelukenttä,406,POINT (60.126904 24.444174)
80,67882,Lindalin kenttä,Luistelukenttä,406,POINT (60.131855 24.42479)
81,67878,Jokirinteen oppimiskeskuksen luistelukenttä,Luistelukenttä,406,POINT (60.127323 24.448788)
82,65810,Veikkolan kaukalon luistelukenttä,Luistelukenttä,406,POINT (60.271286 24.43995)
83,65790,Kuusalan luistelukenttä,Luistelukenttä,406,POINT (60.120663 24.426744)
84,65738,Framnäsin luistelukenttä,Luistelukenttä,406,POINT (60.154564 24.52842)
85,65568,Kantvikin luistelukenttä,Luistelukenttä,406,POINT (60.09173 24.397057)
86,65432,Heikkilän koulun luistelukenttä,Luistelukenttä,406,POINT (60.12826 24.465317)
87,65351,Luoman luistelukenttä,Luistelukenttä,406,POINT (60.17619 24.544592)
88,65347,Sjökulla skolan luistelukenttä,Luistelukenttä,406,POINT (60.23481 24.401482)
89,65342,Masalan koulun luistelukenttä,Luistelukenttä,406,POINT (60.166782 24.539543)
90,65115,Gesterbyn luistelukenttä,Luistelukenttä,406,POINT (60.131897 24.443733)
91,65083,Veikkolan urheilupuiston luistelualue,Luistelukenttä,406,POINT (60.269844 24.436518)
92,63768,Lumikintien leikkikentän luistelukenttä,Luistelukenttä,406,POINT (60.20294 25.054422)
93,63767,Leikkipuisto Mustapuro / Luistelukenttä,Luistelukenttä,406,POINT (60.217834 25.080889)
94,63712,Niipperin koulu / Luistelukenttä,Luistelukenttä,406,POINT (60.2831 24.747282)
95,63706,Rekolan liikuntapuiston luistelukenttä,Luistelukenttä,406,POINT (60.332363 25.082518)
96,60703,Saharan luistelukenttä,Luistelukenttä,406,POINT (60.215225 24.71625)
97,60349,Smedsintien luistelukenttä,Luistelukenttä,406,POINT (60.207092 24.730171)
98,57533,Nuuksion koulu / Luistelukenttä,Luistelukenttä,406,POINT (60.261936 24.563246)
99,56674,Kalasatamanpuisto / Luistelukenttä,Luistelukenttä,406,POINT (60.184544 24.977892)
100,56438,Korson liikuntapuiston luistelukenttä,Luistelukenttä,406,POINT (60.356915 25.069855)
101,56437,Kartanonkosken liikuntapuiston luistelukenttä,Luistelureitti,407,POINT (60.28071 24.954845)
102,56437,Kartanonkosken liikuntapuiston luistelukenttä,Luistelukenttä,406,POINT (60.28071 24.954845)
103,56378,Lipunkantajan luistelukenttä,Luistelukenttä,406,POINT (60.321766 24.851944)
104,53567,Opinmäen koulu / Luistelukenttä,Luistelukenttä,406,POINT (60.191246 24.737942)
105,53095,Paalupuiston luistelukenttä,Luistelukenttä,406,POINT (60.297985 25.107841)
106,53094,Notkopuisto luistelukenttä,Luistelukenttä,406,POINT (60.334698 25.016382)
107,53093,Simonkylänpuisto luistelukenttä,Luistelukenttä,406,POINT (60.315365 25.016848)
108,53092,Martinlaakson liikuntapuiston iso luistelukenttä,Luistelukenttä,406,POINT (60.282913 24.84818)
109,53090,Kontiopuiston luistelukenttä,Luistelukenttä,406,POINT (60.361286 25.092207)
110,53089,Voikukanpuiston luistelukenttä,Luistelukenttä,406,POINT (60.296455 25.028563)
111,51451,Puotilankenttä / Luistelukenttä 2,Luistelukenttä,406,POINT (60.21527 25.0962)
112,51098,Myllynsiipi kirkkopuisto / Luistelukenttä,Luistelukenttä,406,POINT (60.22434 25.066137)
113,51095,Santahamina / Luistelukenttä,Luistelukenttä,406,POINT (60.151356 25.047941)
114,50605,Vesalanpuisto / Luistelukenttä,Luistelukenttä,406,POINT (60.239777 25.097795)
115,50532,Ala-soukan luistelukenttä,Luistelukenttä,406,POINT (60.13473 24.672237)
116,50522,Friisilän koulu / Luistelukenttä,Luistelukenttä,406,POINT (60.16918 24.70782)
117,50520,Lintuvaaran koulu / Luistelukenttä,Luistelukenttä,406,POINT (60.238163 24.805286)
118,50518,Lintulaakson koulu / Luistelukenttä,Luistelukenttä,406,POINT (60.23385 24.818779)
119,50517,Koulumestarin koulu / Luistelukenttä,Luistelukenttä,406,POINT (60.21389 24.641354)
120,50515,Saunalahden koulu / Luistelukenttä,Luistelukenttä,406,POINT (60.16984 24.614946)
121,50514,Pisanpuisto / Luistelukenttä,Luistelukenttä,406,POINT (60.175415 24.67345)
122,50512,Itärannan luistelukenttä,Luistelukenttä,406,POINT (60.175476 24.823807)
123,50510,Lystimäen luistelukenttä,Luistelukenttä,406,POINT (60.178356 24.752262)
124,50508,Eestinkallion luistelukenttä,Luistelukenttä,406,POINT (60.16751 24.683619)
125,50503,Vanttilan koulu / Luistelukenttä,Luistelukenttä,406,POINT (60.18415 24.616974)
126,50500,Hansapuisto / Luistelukenttä,Luistelukenttä,406,POINT (60.18907 24.59598)
127,50488,Auroran koulu / Luistelukenttä,Luistelukenttä,406,POINT (60.23125 24.715136)
128,50265,Ymmerstan koulu / Luistelukenttä,Luistelukenttä,406,POINT (60.205055 24.710424)
129,47853,Leikkipuisto Mustakivi / Luistelupaikka,Luistelukenttä,406,POINT (60.20351 25.142282)
130,47849,Selkämerenpuisto / Luistelukenttä,Luistelukenttä,406,POINT (60.159634 24.914005)
131,47848,Leikkipuisto Rusthollari / Luistelukenttä,Luistelukenttä,406,POINT (60.212357 25.099674)
132,47845,Haagan puisto / Luistelukenttä,Luistelukenttä,406,POINT (60.21264 24.891922)
133,46194,Vapaalan liikuntapuiston luistelualue,Luistelukenttä,406,POINT (60.267036 24.823044)
134,46192,Nissbackanpuiston luistelukenttä,Luistelukenttä,406,POINT (60.282722 25.12587)
135,46175,Koivupään luistelukenttä,Luistelukenttä,406,POINT (60.320335 24.884094)
136,45391,Pitäjänmäen urheilukenttä / Luistelukenttä,Luistelukenttä,406,POINT (60.225636 24.861544)
137,45364,Paloheinänkenttä / Luistelukenttä,Luistelukenttä,406,POINT (60.246647 24.923326)
138,45147,Sakarinmäen kentän luistelukenttä,Luistelukenttä,406,POINT (60.26059 25.211023)
139,42920,Vierumäen koulun luistelukenttä,Luistelukenttä,406,POINT (60.356445 25.0544)
140,42913,Harjupuiston luistelukenttä,Luistelukenttä,406,POINT (60.317593 25.00469)
141,42902,Krakanpuiston luistelukenttä,Luistelukenttä,406,POINT (60.28687 24.94091)
142,42879,Kulomäen koulun luistelukenttä,Luistelukenttä,406,POINT (60.346462 25.064419)
143,42847,Isonmännynpuiston luistelukenttä,Luistelukenttä,406,POINT (60.279163 24.918985)
144,42828,Jokivarren luistelukenttä,Luistelukenttä,406,POINT (60.34798 25.112013)
145,42825,Tikkurilan urheilupuiston luistelukenttä,Luistelukenttä,406,POINT (60.301266 25.022806)
146,42806,Löydöspuiston luistelukenttä,Luistelukenttä,406,POINT (60.261185 24.861467)
